data_hora,record,pressao_atm_max,pressao_atm_min,chuva_mm,temp_ar_max,temp_ar_min,umid_relat_max,umid_relat_min,rad_solar_total,temp_max,temp_min,temp_ar_media,umid_relat_media,vento_veloc,rad_solar_media,et0
'2016-08-22 03:00:00',22219,620.2656,599.7802,0,23472,22.97,87104,85615,2296.75,20.9569,20.68233,23.24834,86.17387,1.020694,6.379862,0.01338269
'2016-08-22 04:00:00',22220,620345,599765,0,22.98,22.75,87716,86584,2267665,20.72435,20.42621,22.84906,87.07979,0.2590277,6.29907,0.005809905
'2016-08-22 05:00:00',22221,600.8486,599.8412,0,22.77,22108,89836,86684,2232576,20.51593,20.28038,22.44813,88.00393,0,6.2016,0.002845735
'2016-08-22 06:00:00',22222,600.0854,599.9542,0,22088,21536,92974,89744,2193354,20.51517,20.30339,21.78209,91.61237,0,6.09265,0.002770036
'2016-08-22 07:00:00',22223,600.8975,599.8565,0,23151,21466,93359,86273,2448179,20796,20.32239,21.98015,91.32486,0.01402778,6.800497,0.005620649
'2016-08-22 08:00:00',22224,600.9707,599.7344,0,25255,23.11,86164,71762,3269275,20.84614,19.60258,24.23282,78.5669,1.422639,9.081319,0.03522765
'2016-08-22 09:00:00',22225,600.9677,599.8412,0,27978,25024,72.5,60544,3987587,20.13948,19.23609,26.41788,66.73356,1.913958,11.07663,0.06876725
'2016-08-22 10:00:00',22226,619884,599.7497,0,30,27478,62107,51218,4656519,20.01324,18.68373,28.58981,56.99009,1.696111,12.93478,0.08323617
'2016-08-22 11:00:00',22227,619.9573,599.7558,0,31298,29298,54902,46728,5186.14,19554,18.35743,30.33884,50.3489,1.760139,14.40594,0.1016702
'2016-08-22 12:00:00',22228,603.95,599.7497,0,33078,30.82,49949,41907,5420653,19.82519,18.03584,31.97165,45.37614,1.871667,15.05737,0.1202433
'2016-08-22 13:00:00',22229,620.0671,599.7863,0,34265,31858,46.55,38767,5454664,20.28256,17.80103,33.16408,41.8662,1.500556,15.15184,0.1082102
'2016-08-22 14:00:00',22230,610.9005,599826,0,35593,33058,42655,34294,5189981,19.30357,16.98164,34.23313,38.32276,1.207083,14.41662,0.09634315
'2016-08-22 15:00:00',22231,620.0671,599.7497,0,36669,34665,38064,30844,4696813,19.33103,16.60515,35.71422,34.25198,0.9094443,13.0467,0.08135297
'2016-08-22 16:00:00',22232,620.1069,599.8229,0,37.05,35003,34972,28083,4013473,18.12552,15.43433,36.1296,31.26532,1.132639,11.14854,0.1006119
'2016-08-22 17:00:00',22233,620061,599765,0,37159,35453,31.57,27526,3232.25,16.59204,14.99046,36.2082,29.09328,0.6340278,8.978472,0.06188776
'2016-08-22 18:00:00',22234,620.1343,599.7405,0,36212,33476,33009,28724,2458517,15.69731,14.88952,35.08212,30.55053,0.4663194,6.829214,0.04484245
'2016-08-22 19:00:00',22235,600986,599.7497,0,33468,30.91,37177,32722,2123578,15.13951,14.50609,32.13673,35.13548,0.09833334,5.898828,0.01042651
