record,pressao_atm_max,pressao_atm_min,chuva_mm,temp_ar_max,temp_ar_min,umid_relat_max,umid_relat_min,rad_solar_total,temp_max,temp_min,temp_ar_media,umid_relat_media,vento_veloc,rad_solar_media,et0
23115,619.89,599.722,0,28.66,26.136,69.072,58.107,2628.28,20.2756,19.3506,27.1097,64.5154,2.13833,7.30079,0.077964
23116,619.881,599.771,0,31.579,28.268,58.531,47.187,3488.8,19.7842,18.4711,29.4863,53.7868,1.82465,9.69113,0.0932804
23117,620.418,599.725,0,32.248,29.701,53.146,44.507,3582.8,20.2264,18.3789,30.8126,49.5171,1.75327,9.95224,0.10041
23118,619.921,599.765,0,33.667,31.518,47.744,39.764,4320.78,19.6722,17.5582,32.497,43.6145,1.54201,12.0022,0.104169
23119,620.165,599.75,0,34.953,31.958,44.948,35.726,3354.7,19.3514,17.2029,33.6079,39.6313,1.31104,9.3186,0.0962877
23120,620.421,599.887,0,35.563,32.758,39.382,33.429,2713.96,18.6891,16.4313,34.2893,36.184,0.966944,7.53879,0.0773928
23121,620.083,599.734,0,35.154,32.976,38.564,33.189,2121.18,17.9368,15.8309,33.9782,35.3472,0.956042,5.89216,0.075916
23122,600.928,599.762,0,33.996,31.659,38.263,33.509,1772.98,17.2288,15.3899,32.9548,35.6939,0.34868,4.92495,0.0307799
23123,600.085,599.795,0,31.659,28.018,49.355,37.507,1714.04,17.6145,15.3494,29.5863,43.6271,0,4.76121,0.00262184
23124,619.994,599.826,0,29.26,27.319,59.455,47.683,1784.84,19.3497,15.4894,28.3026,52.7808,1.4441,4.95788,0.0583919
23125,620.076,599.734,0,27.97,26.167,69.695,59.422,1810.61,20.2114,19.3352,27.0389,64.9007,1.99049,5.02946,0.0528257
23126,620.046,599.777,0,26.157,24.906,75.197,69.718,1900.49,20.4554,20.189,25.3793,73.5356,1.50771,5.27915,0.0320818
23127,619.933,599.753,0,24.915,24.202,81.988,75.191,1960.07,20.9591,20.177,24.5731,78.2631,1.53472,5.44464,0.0264354
23128,620.351,599.841,0,24.414,24.124,83.39,81.996,2022.27,21.4127,20.9754,24.2824,82.9385,1.83799,5.61741,0.023477
23129,620.354,599.918,0,24.484,24.343,83.695,82.386,1979.07,21.4567,21.2751,24.4188,83.0753,1.9268,5.49743,0.0240338
23130,620.397,599.866,0,24.542,24.424,82.644,80.518,1986.51,21.354,20.951,24.4935,81.3488,1.91569,5.51808,0.0262845
23131,620.299,599.795,0,24.584,24.494,80.66,80.128,1973.41,21.021,20.8945,24.5399,80.4483,1.55799,5.4817,0.0241807
23132,620.385,599.841,0,24.574,24.414,80.914,80.521,1917.32,21.0456,20.8916,24.4889,80.7527,0.925139,5.32588,0.0167983
23133,620.351,599.74,0,24.464,24.042,81.718,80.756,1879.1,21.0025,20.6845,24.3294,81.2004,1.04021,5.21971,0.0177117
